,attack
81309,14
90163,14
135821,14
12356,14
103733,7
79095,14
49031,24
129060,5
39926,1
107229,14
83265,14
88651,14
31025,14
141727,11
106171,14
113707,31
45193,14
125880,14
55086,15
102800,14
89160,14
81927,14
40359,14
119460,14
131549,34
109737,14
65342,14
45397,14
128322,14
19301,14
41666,7
81017,14
909,19
131271,20
138239,14
127933,10
45688,7
82351,14
107586,14
8471,14
104575,14
117476,14
45206,14
48361,14
21799,14
8648,14
80838,14
78241,14
104184,14
15,14
129939,14
58546,14
1814,19
42793,19
31897,14
24009,24
88273,14
135926,23
3839,14
96947,14
56380,14
44577,14
4418,24
90201,14
29332,14
29762,24
59753,19
129622,14
142914,14
470,14
61579,26
32466,1
53396,19
146357,14
95703,31
75156,14
91034,14
17095,31
28084,14
143177,24
17383,14
134093,4
63686,14
3138,14
106957,33
35502,14
33862,14
120324,19
135405,1
97995,14
76904,14
39072,14
87500,14
8253,33
59778,14
3759,14
94961,14
3834,14
14618,14
61169,24
142533,14
145024,14
39996,14
112155,14
146703,14
109354,7
147049,20
44969,14
4979,14
139541,14
52303,7
143455,28
105497,14
96302,24
124868,14
12840,31
63332,7
147736,14
111780,14
62362,14
81781,24
7899,7
80291,26
109872,14
136149,4
91912,14
911,14
15207,14
96627,14
14086,14
99170,19
84096,14
138048,4
5978,14
24820,14
134048,20
38763,24
36154,14
128819,26
81983,14
120718,14
26623,24
19457,14
116983,14
75288,7
133647,11
29590,14
135526,20
142322,14
117219,14
121393,14
143308,0
23501,26
109103,14
86055,26
80833,14
703,14
139643,14
79053,14
39616,14
79425,14
119207,14
77464,14
115869,14
62908,14
91250,14
50979,15
108928,24
94184,19
122972,26
17700,14
86228,15
62705,14
2409,15
141576,0
31970,14
99668,7
123210,15
125744,14
144952,11
30133,14
141242,34
113036,14
59590,14
17787,14
55611,31
140528,14
53563,14
107592,14
133033,26
132034,20
120383,24
44022,14
127303,14
79403,14
107883,26
71902,14
14894,14
104476,14
132385,11
122348,14
85379,15
141659,14
89540,7
76995,14
72441,14
19523,15
69335,14
48700,26
84207,24
138940,0
9169,14
105776,14
129133,14
17185,14
126430,15
404,7
33316,14
10543,14
114330,14
132354,10
50311,26
4334,14
138778,14
81104,14
45667,14
33799,14
83469,14
136051,14
27899,1
44493,14
118839,19
112722,14
121445,14
148336,14
138865,14
80624,14
92327,14
9603,19
118783,14
126220,14
95727,14
28279,14
38312,14
22078,7
111840,33
2093,14
88176,24
137860,26
145228,14
63421,14
115169,24
115502,24
47444,14
122784,33
130563,34
116991,1
124798,14
110385,14
2368,1
140470,24
143539,0
17014,7
35013,24
116326,14
142710,20
127871,11
53225,14
125572,14
75536,14
104629,14
84163,14
113157,14
145386,14
51549,14
148407,34
30966,7
91981,14
128350,28
69520,15
147978,26
13871,14
13553,14
11151,14
55327,14
63166,14
106880,14
100442,24
117016,14
126401,14
72160,14
20635,24
22250,14
63379,26
54713,14
138244,11
57783,24
20147,14
19316,24
9281,14
127062,34
52124,14
29165,14
91624,26
45695,7
80323,14
52351,14
132531,1
43244,14
124490,14
49320,14
110826,14
54745,14
136684,7
71587,33
134976,26
107785,14
64528,24
123322,14
81711,24
98590,14
132826,21
106668,14
136514,14
41797,14
117592,14
42819,14
111464,14
90650,19
69342,15
127713,26
50165,14
52756,14
103594,14
18667,14
103422,14
30398,14
87282,14
65892,14
5933,14
147430,4
115993,14
97649,14
7521,14
53570,14
24901,7
26685,14
92982,14
89442,15
146536,0
96988,26
105696,7
56040,26
53974,14
133536,14
119201,1
29638,14
106452,14
123697,14
133903,23
116308,14
59237,14
77536,15
36404,14
93009,19
141145,28
143013,26
56734,14
96651,14
87181,14
29344,7
144764,0
123652,14
24188,14
143671,24
76039,7
84743,26
54346,14
127989,14
130764,28
102220,14
70061,1
42012,14
129178,11
135605,34
70268,14
51509,26
140411,14
43885,14
42316,14
115114,14
66312,14
14061,14
71269,14
89402,14
18020,14
144736,34
127978,14
50501,26
91923,14
54319,31
89124,14
57665,24
33291,14
6263,14
142287,34
66585,14
147070,20
113165,14
127082,34
127432,14
112839,14
19824,14
69101,14
115526,26
41091,14
138500,19
107899,14
144539,14
140723,19
12338,14
14781,7
62766,14
52906,14
49062,14
3406,14
79149,14
36954,14
116695,7
115458,14
78770,14
119570,14
115192,14
85270,14
120321,14
133588,14
114005,14
87080,14
10009,14
125055,14
121022,15
88579,14
22374,14
88558,14
82044,14
86518,14
78009,14
5608,7
110806,14
86095,14
55283,14
24811,14
23180,14
96661,14
34349,14
125971,14
79900,14
67049,14
115487,14
17083,14
139535,14
30305,14
86396,14
145824,14
72723,24
11511,26
145253,14
7458,14
20747,14
71749,14
43616,14
2568,14
54468,26
82302,33
66487,14
95426,14
105359,14
125530,14
60713,14
82748,14
88154,14
25049,14
130630,14
142923,0
146471,20
94640,7
5339,14
27638,14
94349,24
118210,14
136150,28
144071,11
133149,14
112742,7
1071,14
60849,31
67163,14
18451,14
9115,14
122058,26
144402,14
71360,7
27772,14
100975,14
62554,8
19503,14
73007,19
71924,14
94038,33
82782,31
87773,14
138843,20
15759,14
19547,14
128507,11
33307,14
25618,14
104287,14
147352,23
117399,14
6908,14
146097,4
82395,14
123664,14
39322,14
16370,14
41344,14
108269,24
69201,14
98425,31
54008,14
65248,14
139665,14
30917,26
63787,14
108093,19
58152,19
66458,14
79982,24
42878,26
61480,14
95766,14
93231,14
111239,14
1992,14
57525,14
41704,14
102912,14
40113,1
131278,5
116766,24
79129,4
54712,14
26104,14
28922,7
147102,7
109402,14
83221,14
126150,23
7216,14
98572,14
95117,7
99657,19
112527,14
89594,26
66344,14
57597,14
80037,14
70647,14
53757,14
18732,7
116456,24
137637,11
68561,14
78852,14
44930,14
103963,14
14764,14
136982,34
141638,34
142019,24
138507,34
148212,23
133211,14
15387,14
78187,15
125197,14
65603,14
108282,14
63999,14
21744,7
132759,0
6640,14
56772,33
75348,15
129112,34
121013,14
61042,14
138382,0
39336,1
91512,14
60185,14
38078,14
44164,14
94460,14
14582,7
40042,14
148042,14
52061,7
147800,0
85024,14
66317,14
54158,24
131793,14
88271,19
147711,4
12981,14
56813,14
76218,15
23492,14
78823,19
10752,15
38073,19
120842,19
34216,14
24790,14
56507,14
138817,0
62276,26
103374,14
111812,14
16013,1
115572,14
67832,14
70435,14
4412,14
6581,19
27628,7
118434,14
72174,14
83478,14
115337,14
107466,14
44230,7
93202,7
111935,14
132811,14
107309,14
95148,14
50599,14
110240,24
62293,24
15565,14
43300,24
104441,7
62760,14
60296,14
68259,19
129662,4
75188,14
57933,15
22383,14
103141,14
147980,14
41376,14
101536,7
55090,14
9663,14
94897,14
30559,14
98516,14
45297,14
45106,14
54129,14
36487,14
108826,33
137509,24
130513,0
130020,14
27982,14
100119,7
39067,19
60374,15
65818,14
20853,7
144943,11
144107,11
3512,14
49372,14
118672,14
49752,14
26813,14
116379,14
100143,14
10272,14
138112,14
85516,14
7490,14
77150,14
84378,14
15706,7
13072,14
87419,14
89210,26
56317,14
127459,26
144808,34
122471,14
64392,14
55052,14
40713,26
130570,11
11654,14
144751,26
130361,14
97100,14
120121,14
126537,11
99517,1
48437,14
50878,26
12904,14
139712,14
17123,26
17706,14
136484,0
126325,4
107996,26
73328,14
111785,7
21673,14
2554,14
81343,14
55576,14
127834,4
28560,14
20943,7
30461,15
147923,26
14456,14
72948,14
58926,19
87007,14
3466,14
139052,4
34875,14
135274,4
118452,14
55650,14
55348,14
52754,14
6318,14
134362,27
107779,14
126344,14
4496,14
133679,34
126982,20
71969,24
73240,14
105999,14
92695,14
65722,14
12357,24
144373,27
126180,20
58079,7
144237,11
79977,15
101907,14
25114,14
134299,27
31833,14
54851,14
50092,14
22314,14
56378,14
129971,24
20096,15
109488,14
40601,33
148273,1
7026,14
118749,14
11542,14
35880,14
125514,14
26892,14
142289,14
88101,7
66499,14
20952,7
20973,14
116500,14
108350,14
3835,14
136677,14
15689,14
141103,14
134735,20
13080,14
81883,7
79184,24
83926,7
88370,14
43050,14
105271,14
83518,14
60005,14
24595,14
67086,14
148229,34
89221,14
24578,14
139013,14
80773,14
85546,14
638,14
139100,14
70994,19
72742,19
42769,14
61922,26
140339,28
40459,15
59330,14
126928,14
68713,14
2914,14
75522,26
29355,26
81160,14
106277,14
74232,14
76044,14
16744,14
89393,14
9056,14
5600,14
13617,14
107577,26
99855,14
60657,14
6521,14
81207,14
8895,14
77442,14
133182,4
39060,14
76036,7
112709,14
109700,14
73156,14
13229,14
40306,14
12236,14
68064,14
59433,14
138540,1
98913,14
97414,14
26209,24
52857,14
7504,14
12036,14
2937,14
42287,14
128435,14
65126,14
122200,14
30688,14
2684,14
144663,4
47591,19
82636,14
111762,7
38653,14
96516,14
98498,14
141966,34
69880,14
28049,14
96659,14
13758,14
94848,14
124127,15
74399,14
103096,14
123541,14
102383,14
112694,24
41519,14
84377,14
16459,14
131410,34
111244,26
27342,14
64105,14
117123,7
84087,14
70381,1
13632,14
111700,14
9549,14
87795,14
58589,14
30479,26
143723,24
62901,14
47316,14
9241,14
117574,24
40046,14
60655,14
37740,15
16290,14
126095,15
102698,14
33458,24
110898,14
119498,14
65405,14
90685,19
135954,11
102867,14
31707,14
3357,14
144089,14
25907,14
122472,14
44424,26
94785,19
38349,14
145549,1
32476,14
112085,19
54755,14
137327,26
55209,7
129436,14
58614,14
73507,14
143181,34
147123,14
83683,14
65737,26
28766,14
59865,14
146035,0
98138,1
71532,7
113894,14
133781,24
145835,34
25181,7
112166,7
120558,14
112421,19
125305,14
38650,14
110420,14
95421,14
49356,14
55339,33
10377,14
20392,14
38492,14
92688,14
47568,19
20295,24
77324,14
131222,14
60412,26
75791,1
116244,14
4439,24
45466,14
117988,14
103071,14
132992,14
46159,24
88810,14
129137,14
17342,7
137546,38
102001,14
23194,14
6478,7
392,14
129013,34
103331,19
19757,19
19687,14
66786,14
134199,4
130171,14
134435,4
52741,14
6393,14
27483,14
131156,1
108893,14
138914,0
99366,14
90010,14
125410,14
50481,14
86629,14
57002,24
91329,14
142455,11
23732,14
121440,14
136544,11
51064,14
127825,14
37301,14
24572,14
26495,14
69091,14
83199,24
81227,14
115325,7
78034,14
20529,14
105752,14
94166,26
89481,14
77778,1
47413,24
28708,24
132593,14
93513,14
145657,14
51553,14
134610,24
100098,14
83389,14
6491,14
39275,14
89044,24
131407,24
117566,14
63169,14
99316,14
114635,15
89112,7
134890,24
92953,14
138428,4
71139,14
58158,14
108550,24
19105,33
126738,20
147733,14
106270,14
106764,14
2572,14
102765,14
29271,14
112809,19
79668,14
129810,14
32415,14
147790,11
142158,14
101538,14
17257,14
66933,7
71373,14
127405,14
3826,24
105540,31
99666,14
105338,14
119003,14
80108,14
70591,26
127320,14
14564,14
5942,14
23814,14
86780,14
127924,10
39327,14
27607,14
16327,14
22546,26
9,14
61678,14
107813,14
116063,7
138246,10
13837,14
29859,14
79092,24
12119,14
122090,14
133068,4
125980,4
48660,14
69339,14
83950,7
76587,14
69359,18
101980,14
115197,14
44685,14
146383,4
138276,14
33768,19
3675,14
111492,7
20939,15
25865,14
141366,14
105093,15
28773,24
135221,1
145925,0
140770,14
104359,14
124926,26
147259,14
32234,14
117980,14
53662,1
30060,26
101063,14
141051,10
13804,14
73918,14
77914,14
71962,14
98769,14
125743,24
6532,14
93122,14
143309,14
4231,14
99597,14
90747,14
5646,14
48751,14
147025,14
27509,7
26621,14
38990,14
107212,14
136609,14
31943,26
54874,14
145325,10
19785,14
15044,14
21596,14
120266,14
108881,14
27198,14
101069,14
127544,14
129753,20
5445,7
118772,14
61070,24
121496,14
22831,14
87185,14
25337,14
37198,14
39878,24
132002,0
129271,34
4828,14
7080,14
137785,4
146808,7
129311,11
117908,24
126985,14
19867,1
4605,14
45917,14
67340,14
126345,1
30434,14
144909,20
24806,14
79984,14
112364,19
132052,14
131735,14
105895,14
135962,14
41086,14
61301,26
126745,34
6327,24
142768,11
97267,14
92780,7
121187,14
138601,14
104603,14
49392,24
82363,14
31671,14
83444,14
101971,14
67436,14
126204,11
68466,7
99718,14
5839,14
139375,26
132321,24
38709,19
132060,34
100254,14
24668,14
29565,14
79086,14
88345,15
67415,7
133940,14
58489,14
11559,31
71983,14
18335,14
95347,14
121093,14
33239,14
126173,11
131373,4
126469,23
33447,14
34994,14
83418,14
42550,7
5045,14
69671,14
146517,14
20933,19
30050,14
80854,14
25277,14
50996,14
66275,14
118354,14
37918,14
40398,14
51005,14
145344,34
115781,31
19129,14
41584,14
47108,24
143659,4
17356,14
2197,14
120978,14
120338,14
373,14
134706,11
106868,19
127678,14
98948,24
29046,14
74678,14
9601,14
64801,14
50699,14
97677,24
135438,11
5308,1
85008,14
111466,14
28452,7
131438,14
44798,18
101296,19
101962,14
101467,15
140711,14
59296,26
28068,19
132001,11
65326,14
65417,14
49492,1
78945,14
62769,14
121012,14
146685,4
116952,14
124379,14
53197,26
52647,14
32085,14
87487,1
63852,14
124484,24
57717,14
101946,7
2982,14
117700,14
135430,28
2172,14
71089,14
62023,14
98194,14
13209,14
140842,10
132505,14
99798,14
25765,14
34056,14
70678,14
99219,14
35547,1
102169,33
142541,14
33500,14
48190,14
24909,14
54428,24
70361,14
51828,14
104568,24
102531,14
68726,14
33843,14
145591,13
90184,14
59439,14
110614,14
59522,14
107487,14
122323,14
83951,14
119508,14
91102,14
31524,14
104421,33
88654,14
26009,7
49160,15
143416,10
16609,14
25977,19
105887,14
28795,14
45836,14
107688,14
23077,1
148275,14
110707,31
76746,14
110229,18
85197,14
67888,26
126762,26
147971,1
53536,7
133766,23
68401,14
86313,14
48680,14
129172,1
117288,14
19253,14
35433,1
81787,14
86063,19
28058,14
70756,14
8484,14
130440,10
104566,14
93167,14
18793,14
146155,20
40943,19
113528,1
44769,14
95782,14
108961,14
15873,14
68933,7
39181,14
100016,1
10982,14
127889,24
28701,26
36921,14
113183,14
86871,31
96745,26
121014,24
71287,1
24908,14
82644,14
113534,14
145064,14
47166,14
127837,11
30625,24
142491,27
126874,14
23361,14
986,14
31240,19
32309,14
78839,1
50678,14
64857,14
87106,14
30029,14
30810,7
105627,14
78493,14
9669,14
32525,14
126225,4
97151,14
142798,14
101854,14
50732,14
134849,10
142483,14
24376,14
59587,1
116872,14
60827,14
21684,14
135838,14
117716,14
36536,19
28583,14
139791,14
53430,14
147290,4
51648,19
111764,33
80981,1
87957,14
117545,7
104330,14
86069,14
70843,14
56782,7
145611,24
111179,14
108246,14
89239,14
94155,26
10136,14
110786,14
60570,19
14763,19
38135,14
95167,14
94222,14
21782,19
56390,14
46418,14
62172,26
129519,14
47686,14
143305,7
116925,31
138187,23
70920,14
20238,14
48861,14
1509,14
53113,14
97706,14
31819,7
26503,14
143069,14
6510,14
38506,14
97127,7
84862,14
35459,14
3214,14
17773,14
32294,14
132312,14
15847,26
90656,14
44074,7
60160,24
61616,15
115953,14
35251,19
143925,14
70330,14
12201,33
102139,14
86622,7
64270,26
7520,14
640,14
135402,14
127885,14
17499,14
59249,14
142293,20
32848,19
40419,19
114150,14
51337,14
138381,14
66124,19
128681,14
37813,14
118539,14
32517,14
143208,14
3957,14
37440,14
113937,14
12293,14
136958,1
84826,14
85827,7
144839,0
83532,19
132867,14
77527,14
128312,14
76286,14
9440,24
60146,24
114266,14
74166,14
122824,14
32507,14
139947,26
28752,7
19990,14
89347,14
63695,14
87497,24
129929,4
39766,14
14251,26
80162,24
43610,14
3130,14
35882,14
129093,20
133486,5
1143,18
77967,14
50276,1
81841,14
122963,14
147097,28
3504,19
77619,14
45749,7
129619,24
68517,14
89967,14
132677,14
94298,24
80675,14
106832,14
38602,7
56475,14
51542,15
42698,14
134087,4
143715,28
8392,24
23307,19
138158,0
122351,14
61321,14
7037,26
24179,14
117220,26
3342,14
42369,14
16586,14
855,14
45514,14
80974,14
142410,20
21327,14
2158,24
62158,14
14968,14
59695,14
75992,14
39337,14
137485,26
28809,14
27503,14
74944,14
81433,14
57817,14
136991,4
31922,14
112437,14
122340,26
32885,14
36570,14
146814,34
27811,14
145964,26
63579,14
54345,14
148494,24
29830,14
135113,23
136844,14
127961,11
72618,14
138017,34
101580,19
97455,7
133906,26
51872,24
125845,14
38600,14
71827,14
20285,14
14384,14
47435,14
77784,14
93560,14
109958,14
7655,26
65002,24
119419,14
44063,14
73064,19
48340,14
130256,14
146288,20
18591,24
101035,26
26591,33
32448,24
91881,14
71413,14
85576,14
51979,14
69042,14
70863,33
15834,14
142308,14
118370,14
120834,14
47132,14
135155,14
142718,1
83210,7
51355,14
106297,14
106879,14
137254,14
132584,24
65465,7
76446,14
90535,19
42551,14
31330,14
80651,14
114768,14
59864,14
83505,14
19491,7
106064,14
103913,7
18028,14
4797,14
146000,14
36521,14
86869,7
118046,14
120653,14
18027,14
107264,14
14789,14
5296,14
131690,14
37495,14
145561,14
58211,19
92354,14
85754,19
113166,31
99890,14
116635,14
9540,14
93425,14
95865,19
38486,24
34967,14
30950,19
72362,14
41039,19
58184,7
9961,14
134012,1
12532,19
118273,14
2273,19
29770,14
122291,7
417,14
76733,14
140409,14
55043,19
11519,14
54866,14
134058,14
85060,14
105024,14
73611,14
114194,14
137291,34
65358,14
67951,14
75078,14
145256,19
60614,14
76798,14
11416,26
7991,14
76245,1
80623,14
107148,14
117102,26
5820,19
44195,14
121079,7
131456,24
147929,23
114230,14
131573,20
33035,24
96170,24
28256,14
50606,14
9372,14
17996,15
24755,24
40340,14
6546,14
58236,7
127571,14
131999,14
53634,7
19759,14
70878,15
69425,14
31432,14
23521,31
70524,24
62793,14
145265,0
61377,14
11262,31
115782,14
113826,14
7241,14
117352,14
134924,14
16073,14
2086,14
55939,14
133312,0
146616,14
129207,14
82187,14
56636,14
35702,14
144292,24
65304,14
60364,7
99329,7
45188,14
58925,14
84574,14
115423,14
21394,14
27736,14
7635,14
118168,14
71109,14
8822,14
137417,14
68180,24
85280,14
34208,14
148300,23
132695,19
110947,14
37702,14
138552,10
78908,14
17207,14
120017,14
140899,14
71334,14
7741,14
36002,1
130724,11
70580,14
23403,14
93552,24
81918,14
130671,11
20015,14
114258,14
112744,14
65811,14
110523,14
5981,19
37127,14
131192,0
144007,4
59876,14
55286,14
94105,14
140714,14
69012,14
131452,27
73411,24
98945,14
13390,26
14150,14
146631,14
71647,14
346,14
19627,15
13866,14
91845,14
70654,14
21989,14
133294,11
59983,26
100979,19
129195,14
28902,14
69716,14
21508,14
59211,14
15243,19
99720,14
119214,14
142681,14
111326,31
51145,26
109574,14
103729,14
34736,14
96873,14
143995,4
89621,14
132162,34
119666,14
131459,14
144655,34
134524,4
55234,14
90558,14
108316,26
14056,14
22494,14
11822,14
116659,14
106285,33
118161,24
33060,26
139967,14
34377,14
113116,14
44433,26
130898,4
122467,14
34504,14
105461,24
37541,24
146961,14
53483,14
31017,14
146145,14
29915,14
55434,1
73927,14
66518,7
95081,14
82173,14
65410,14
134294,14
25896,14
78841,14
101249,7
64008,19
71531,19
26898,14
107638,14
41244,14
134994,14
107729,14
57903,14
79793,14
125506,15
75304,14
134409,11
76683,14
111199,7
103162,14
36516,33
30247,14
114096,19
10582,14
11054,33
132407,4
17818,26
38445,7
142996,26
39468,14
88868,14
140079,10
21743,14
59397,14
16033,14
148119,14
53871,14
137170,24
90179,14
64544,14
61690,31
1996,19
120147,19
88931,14
16810,15
