,protocol_type,service,flag,wrong_fragment,logged_in,num_outbound_cmds,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack,attack_occur,attack_class
10,1,55,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.003921568627451,1.0,0.02,0.0,0.0,0.0,0.0,1.32,0.64,11,1,2
11,1,49,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.011764705882353,1.02,0.06,0.0,0.0,0.0,0.0,0.66,0.0,16,0,1
12,1,45,1,0.0,0.0,0.0,0.4344422700587084,0.0,0.0,2.0,2.0,0.04,0.14,0.0,2.0,0.01568627450980392,0.02,0.14,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
13,1,55,5,0.0,0.0,0.0,0.46966731898238745,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.8431372549019607,1.3411764705882352,1.46,0.14,0.0,0.0,1.38,1.9,0.04,0.0,14,1,0
14,1,55,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2980392156862745,0.5725490196078431,0.32,0.1,0.06,0.08,0.0,1.54,0.0,0.14,16,0,1
15,1,22,9,0.0,2.0,0.0,0.03131115459882583,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5568627450980392,2.0,2.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,16,0,1
16,1,22,9,0.0,2.0,0.0,0.09393346379647749,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
17,1,22,9,0.0,2.0,0.0,0.06262230919765166,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.27450980392156865,2.0,2.0,0.0,0.06,0.1,0.0,0.0,0.0,0.0,16,0,1
18,2,45,9,0.0,0.0,0.0,1.9765166340508804,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16,0,1
19,1,45,1,0.0,0.0,0.0,0.7984344422700587,0.0,0.0,2.0,2.0,0.18,0.14,0.0,2.0,0.1411764705882353,0.14,0.14,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
20,1,28,1,0.0,0.0,0.0,0.461839530332681,0.0,0.0,2.0,2.0,0.32,0.1,0.0,2.0,0.14901960784313725,0.14,0.1,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
21,1,43,5,0.0,0.0,0.0,0.003913894324853229,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.6823529411764706,0.68,0.02,0.02,0.0,2.0,2.0,0.0,0.0,11,1,2
22,1,22,9,0.0,2.0,0.0,0.06653620352250489,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
23,1,22,9,0.0,2.0,0.0,0.06653620352250489,0.0,0.0,0.0,0.0,2.0,0.0,0.22,0.2823529411764706,2.0,2.0,0.0,0.06,0.04,0.0,0.0,0.0,0.0,16,0,1
24,1,5,1,0.0,0.0,0.0,0.45401174168297453,0.0,0.0,2.0,2.0,0.14,0.14,0.0,2.0,0.06274509803921569,0.06,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
25,1,9,2,0.0,0.0,0.0,1.0684931506849313,0.0,0.0,2.0,2.0,0.1,0.12,0.0,2.0,0.10196078431372549,0.1,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
26,1,22,9,0.0,2.0,0.0,0.08610567514677103,0.0,0.0,0.0,0.0,2.0,0.0,0.22,1.4117647058823528,2.0,2.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,16,0,1
27,1,22,9,0.0,2.0,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
28,0,14,9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3607843137254902,0.4627450980392157,2.0,0.0,2.0,0.28,0.0,0.0,0.0,0.0,27,1,0
29,2,45,9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,16,0,1
30,1,22,4,0.0,2.0,0.0,0.046966731898238745,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.8901960784313725,1.8666666666666667,1.98,0.02,0.0,0.0,0.0,0.0,0.14,0.14,0,1,0
31,1,49,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.2392156862745098,0.6431372549019607,1.04,0.12,0.02,0.0,0.02,0.0,0.0,0.0,16,0,1
32,1,22,9,0.0,2.0,0.0,0.05870841487279843,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1568627450980392,2.0,2.0,0.0,0.1,0.04,0.1,0.0,0.0,0.0,16,0,1
33,2,45,9,0.0,0.0,0.0,0.15655577299412915,0.0,0.0,0.0,0.0,0.16,0.76,0.0,2.0,0.023529411764705882,0.02,1.16,1.98,0.0,0.0,0.0,0.02,0.0,16,0,1
34,1,45,1,0.0,0.0,0.0,1.8904109589041096,0.1,0.0,1.84,2.0,0.0,2.0,0.0,2.0,0.00784313725490196,0.0,2.0,0.0,0.0,0.0,0.0,1.92,2.0,25,1,2
35,1,24,2,0.0,0.0,0.0,0.007827788649706457,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.4509803921568627,0.4627450980392157,0.48,0.06,0.02,0.06,0.02,0.0,1.78,1.9,11,1,2
36,1,22,9,0.0,2.0,0.0,0.043052837573385516,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
37,1,18,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4156862745098039,0.21176470588235294,1.02,0.16,0.04,0.0,0.0,0.0,0.0,0.0,2,1,4
38,2,11,9,0.0,0.0,0.0,0.44227005870841485,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.992156862745098,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
39,1,19,9,0.0,0.0,0.0,0.05870841487279843,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.592156862745098,0.8941176470588235,0.76,0.02,0.76,0.04,0.0,0.0,0.0,0.0,16,0,1
40,1,45,5,0.0,0.0,0.0,0.5636007827788649,2.0,2.0,0.0,0.0,0.12,0.12,0.0,2.0,0.06274509803921569,0.06,0.12,0.0,0.0,2.0,2.0,0.0,0.0,14,1,0
41,1,22,9,0.0,2.0,0.0,0.050880626223091974,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.10196078431372549,2.0,2.0,0.0,0.16,0.02,0.0,0.0,0.0,0.0,16,0,1
42,1,22,9,0.0,2.0,0.0,0.11350293542074363,0.06,0.1,0.0,0.0,2.0,0.0,0.16,0.22745098039215686,2.0,2.0,0.0,0.06,0.08,0.06,0.0,0.0,0.0,16,0,1
43,1,22,9,0.0,2.0,0.0,0.1917808219178082,0.0,0.0,0.0,0.0,2.0,0.0,0.08,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
44,1,31,1,0.0,0.0,0.0,1.0410958904109588,0.0,0.0,2.0,2.0,0.06,0.12,0.0,2.0,0.06274509803921569,0.06,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
45,1,22,9,0.0,2.0,0.0,0.03131115459882583,0.0,0.0,0.0,0.0,2.0,0.0,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
46,1,54,5,0.0,0.0,0.0,1.0998043052837572,2.0,2.0,0.0,0.0,0.04,0.12,0.0,2.0,0.047058823529411764,0.04,0.14,0.0,0.0,2.0,2.0,0.0,0.0,14,1,0
47,1,22,9,0.0,2.0,0.0,0.015655577299412915,0.0,0.0,0.0,0.0,2.0,0.0,0.16,2.0,1.9607843137254901,1.96,0.02,0.0,0.0,0.0,0.0,0.12,0.12,1,1,0
48,1,55,5,0.0,0.0,0.0,0.003913894324853229,2.0,0.66,0.0,1.34,2.0,0.0,1.84,0.7137254901960784,0.6745098039215687,0.68,0.06,0.02,0.06,2.0,2.0,0.0,0.0,11,1,2
49,2,45,9,0.0,0.0,0.0,0.26614481409001955,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,16,0,1
50,1,22,9,0.0,2.0,0.0,0.011741682974559686,0.0,0.0,0.0,0.0,2.0,0.0,0.24,0.023529411764705882,1.223529411764706,2.0,0.0,0.66,0.08,0.0,0.02,0.0,0.0,16,0,1
51,1,22,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.14,2.0,1.8901960784313725,1.9,0.04,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
52,1,25,1,0.0,0.0,0.0,0.9354207436399217,0.0,0.0,2.0,2.0,0.06,0.12,0.0,2.0,0.054901960784313725,0.06,0.14,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
53,1,45,1,0.0,0.0,0.0,0.786692759295499,0.0,0.0,2.0,2.0,0.02,0.16,0.0,2.0,0.023529411764705882,0.02,0.16,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
54,1,18,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.2901960784313725,0.3,0.04,0.0,0.0,0.0,0.0,0.88,0.0,33,1,3
55,1,22,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.16470588235294117,2.0,2.0,0.0,0.1,0.08,0.0,0.0,0.0,0.0,16,0,1
56,1,24,1,0.0,0.0,0.0,1.095890410958904,0.0,0.0,2.0,2.0,0.06,0.12,0.0,2.0,0.06274509803921569,0.06,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
57,2,45,9,0.0,0.0,0.0,0.007827788649706457,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07058823529411765,0.07058823529411765,2.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,28,1,3
58,1,55,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.7019607843137254,1.7,0.06,0.0,0.0,0.66,0.78,0.24,0.12,21,1,0
59,1,22,9,0.0,2.0,0.0,0.03131115459882583,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
60,1,43,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.9529411764705882,1.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0,4,1,3
61,1,19,9,0.0,0.0,0.0,0.007827788649706457,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.054901960784313725,0.0784313725490196,1.72,0.58,1.72,0.4,0.0,0.0,0.0,0.0,33,1,3
62,1,22,9,0.0,2.0,0.0,0.011741682974559686,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.5450980392156863,1.54,0.04,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
63,1,22,9,0.0,2.0,0.0,0.007827788649706457,0.0,0.0,0.0,0.0,2.0,0.0,0.4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
64,1,40,1,0.0,0.0,0.0,1.6125244618395302,0.3,0.0,1.66,2.0,0.0,2.0,0.0,2.0,0.00784313725490196,0.0,1.92,0.0,0.0,0.2,0.0,1.78,2.0,25,1,2
65,1,22,9,0.0,2.0,0.0,0.11741682974559686,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
66,1,55,1,0.0,0.0,0.0,0.015655577299412915,0.0,0.0,2.0,2.0,0.5,2.0,1.66,0.8313725490196078,0.6666666666666666,0.58,0.1,0.02,0.04,0.04,0.0,1.82,1.34,11,1,2
67,1,45,1,0.0,0.0,0.0,0.42661448140900193,0.0,0.0,2.0,2.0,0.24,0.12,0.0,2.0,0.10196078431372549,0.1,0.14,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
68,1,49,5,0.0,0.0,0.0,0.4461839530332681,2.0,2.0,0.0,0.0,0.02,0.12,0.0,2.0,0.00784313725490196,0.0,0.1,0.0,0.0,2.0,2.0,0.0,0.0,14,1,0
69,1,22,9,0.0,2.0,0.0,0.07436399217221135,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
70,1,45,1,0.0,0.0,0.0,0.8454011741682974,0.0,0.0,2.0,2.0,0.12,0.12,0.0,2.0,0.10980392156862745,0.1,0.14,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
71,1,49,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.4784313725490196,1.1450980392156862,1.6,0.14,0.04,0.02,0.0,0.0,0.0,0.02,16,0,1
72,1,22,9,0.0,2.0,0.0,0.007827788649706457,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0784313725490196,2.0,2.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,16,0,1
73,1,22,9,0.0,2.0,0.0,0.03131115459882583,0.0,0.0,0.0,0.0,2.0,0.0,0.34,0.6666666666666666,1.9843137254901961,2.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,16,0,1
74,1,6,1,0.0,0.0,0.0,0.9823874755381604,0.0,0.0,2.0,2.0,0.02,0.12,0.0,2.0,0.023529411764705882,0.02,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
75,1,22,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3137254901960784,2.0,2.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,16,0,1
76,1,22,9,0.0,2.0,0.0,0.043052837573385516,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6352941176470588,2.0,2.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,16,0,1
77,1,55,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.5254901960784314,0.52,0.06,0.0,0.0,0.0,0.02,0.22,0.38,21,1,0
78,1,22,9,0.0,2.0,0.0,0.007827788649706457,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.054901960784313725,2.0,2.0,0.0,0.28,0.08,0.0,0.0,0.0,0.0,16,0,1
79,1,22,9,0.0,2.0,0.0,0.09393346379647749,0.0,0.0,0.0,0.0,2.0,0.0,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
80,1,45,1,0.0,0.0,0.0,1.0450097847358122,0.02,0.0,1.98,2.0,0.14,0.12,0.0,2.0,0.14901960784313725,0.14,0.12,0.0,0.0,0.02,0.0,1.98,2.0,14,1,0
81,1,45,1,0.0,0.0,0.0,0.9041095890410958,0.0,0.0,2.0,2.0,0.06,0.14,0.0,2.0,0.047058823529411764,0.04,0.14,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
82,0,14,9,0.6666666666666666,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00784313725490196,0.19607843137254902,2.0,0.0,2.0,1.04,0.0,0.0,0.0,0.0,19,1,0
83,1,22,9,0.0,2.0,0.0,0.015655577299412915,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03137254901960784,1.968627450980392,2.0,0.0,0.5,0.16,0.0,0.0,0.0,0.0,16,0,1
84,1,22,9,0.0,2.0,0.0,0.10176125244618395,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
85,1,22,9,0.0,2.0,0.0,0.019569471624266144,0.0,0.0,0.0,0.0,2.0,0.0,0.76,0.5411764705882353,2.0,2.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,16,0,1
86,1,17,2,0.0,0.0,0.0,0.22700587084148727,0.0,0.0,2.0,2.0,0.66,0.14,0.0,2.0,0.48627450980392156,0.48,0.22,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
87,1,43,2,0.0,2.0,0.0,0.011741682974559686,0.0,0.0,2.0,2.0,0.66,2.0,2.0,1.4823529411764707,0.47058823529411764,0.48,0.06,0.02,0.06,0.0,0.0,1.76,1.96,11,1,2
88,1,22,9,0.0,2.0,0.0,0.011741682974559686,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
89,1,19,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2823529411764706,0.054901960784313725,0.38,0.22,0.38,0.0,0.0,0.0,0.0,0.0,16,0,1
90,1,22,9,0.0,2.0,0.0,0.0547945205479452,0.0,0.0,0.0,0.0,2.0,0.0,0.26,0.10980392156862745,2.0,2.0,0.0,0.14,0.06,0.0,0.0,0.0,0.0,16,0,1
91,1,22,9,0.0,2.0,0.0,0.03131115459882583,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
92,1,45,1,0.0,0.0,0.0,0.40313111545988256,0.0,0.0,2.0,2.0,0.08,0.12,0.0,2.0,0.03137254901960784,0.04,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
93,1,40,1,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.10196078431372549,0.1,0.04,0.0,0.0,0.0,0.0,0.12,2.0,5,1,4
94,1,43,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.992156862745098,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4,1,3
95,1,49,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8627450980392157,0.19607843137254902,0.46,0.26,0.02,0.0,0.0,0.0,0.0,0.0,16,0,1
96,1,22,9,0.0,2.0,0.0,0.023483365949119372,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.7529411764705882,2.0,2.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,16,0,1
97,2,11,9,0.0,0.0,0.0,0.011741682974559686,0.0,0.0,0.0,0.0,2.0,0.0,0.8,2.0,1.9843137254901961,1.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
98,1,45,10,0.0,0.0,0.0,0.003913894324853229,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.23529411764705882,0.00784313725490196,0.06,2.0,2.0,0.0,2.0,2.0,0.0,0.0,15,1,2
99,1,60,2,0.0,0.0,0.0,0.4657534246575342,0.0,0.0,2.0,2.0,0.12,0.14,0.0,2.0,0.054901960784313725,0.06,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
100,1,40,5,0.0,0.0,0.0,1.9452054794520546,0.0,2.0,1.98,0.0,0.0,2.0,0.0,2.0,0.00784313725490196,0.0,2.0,0.0,0.0,0.02,2.0,1.98,0.0,25,1,2
101,1,18,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2156862745098038,0.5568627450980392,0.92,0.06,0.02,0.0,0.0,0.0,0.0,0.0,4,1,3
102,1,45,1,0.0,0.0,0.0,0.8493150684931506,0.0,0.0,2.0,2.0,0.06,0.14,0.0,2.0,0.047058823529411764,0.04,0.14,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
103,1,45,1,0.0,0.0,0.0,0.41487279843444225,0.0,0.0,2.0,2.0,0.28,0.16,0.0,2.0,0.11764705882352941,0.12,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
104,1,49,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.48627450980392156,0.32941176470588235,1.32,0.1,0.04,0.1,0.0,0.0,0.0,0.0,16,0,1
105,1,45,1,0.0,0.0,0.0,0.9354207436399217,0.0,0.0,2.0,2.0,0.1,0.14,0.0,2.0,0.09411764705882353,0.1,0.14,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
106,1,55,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.9450980392156862,0.25098039215686274,0.26,0.06,0.0,0.0,0.0,0.0,0.0,0.0,22,1,4
107,1,22,9,0.0,2.0,0.0,0.007827788649706457,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.20392156862745098,1.796078431372549,2.0,0.0,0.08,0.1,0.0,0.0,0.0,0.0,16,0,1
108,1,45,1,0.0,0.0,0.0,0.45792563600782776,0.0,0.0,2.0,2.0,0.18,0.12,0.0,2.0,0.0784313725490196,0.08,0.1,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
109,1,22,9,0.0,2.0,0.0,0.09784735812133072,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.19607843137254902,2.0,2.0,0.0,0.08,0.12,0.0,0.0,0.0,0.0,16,0,1
110,1,22,9,0.0,2.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.184313725490196,1.184313725490196,2.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,16,0,1
111,1,45,1,0.0,0.0,0.0,0.8923679060665362,0.0,0.0,2.0,2.0,0.14,0.14,0.0,2.0,0.11764705882352941,0.12,0.16,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
112,1,55,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.5411764705882353,0.54,0.06,0.0,0.0,0.0,0.02,0.22,0.38,21,1,0
113,1,55,9,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.47058823529411764,0.48,0.08,0.0,0.0,0.0,0.04,0.22,0.44,21,1,0
114,1,22,9,0.0,2.0,0.0,0.011741682974559686,0.0,0.0,0.0,0.0,2.0,0.0,0.8,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
115,1,45,5,0.0,0.0,0.0,1.0136986301369864,2.0,2.0,0.0,0.0,0.16,0.14,0.0,2.0,0.1568627450980392,0.16,0.14,0.0,0.0,2.0,2.0,0.0,0.0,14,1,0
116,1,22,9,0.0,2.0,0.0,0.06262230919765166,0.0,0.0,0.0,0.0,2.0,0.0,0.24,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1
117,0,14,9,0.0,0.0,0.0,0.6771037181996086,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.992156862745098,2.0,0.02,2.0,0.0,0.0,0.0,0.0,0.0,27,1,0
118,1,63,1,0.0,0.0,0.0,1.1037181996086105,0.0,0.0,2.0,2.0,0.12,0.12,0.0,2.0,0.13333333333333333,0.14,0.14,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
119,2,45,9,0.0,0.0,0.0,0.019569471624266144,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.992156862745098,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,29,1,3
120,1,22,9,0.0,2.0,0.0,0.023483365949119372,0.0,0.0,0.0,0.0,2.0,0.0,0.72,0.23529411764705882,2.0,2.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,16,0,1
121,0,14,9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.5058823529411764,1.5,0.04,1.5,0.0,0.0,0.0,0.46,0.0,27,1,0
122,1,45,10,0.0,0.0,0.0,0.003913894324853229,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.6274509803921569,0.00784313725490196,0.02,2.0,2.0,0.0,2.0,2.0,0.0,0.0,15,1,2
123,1,45,1,0.0,0.0,0.0,0.5166340508806262,0.0,0.0,2.0,2.0,0.18,0.1,0.0,2.0,0.09411764705882353,0.1,0.12,0.0,0.0,0.0,0.0,2.0,2.0,14,1,0
